H1_LABEL,H1_TEXT,H2_LABEL,H2_TEXT,H3_LABEL,H3_TEXT,H4_LABEL,H4_TEXT
"Introduction","","K–10 curriculum","The NSW Education Standards Authority (NESA) syllabuses are developed with respect to some overarching views about education. These include the NESA K–10 Curriculum Framework and Statement of Equity Principles and the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nNESA syllabuses include agreed Australian Curriculum content and content that clarifies the scope, breadth and depth of learning. The Australian Curriculum achievement standards underpin the syllabus outcomes and the Stage statements for Early Stage 1 to Stage 5.nIn accordance with the K–10 Curriculum Framework and the Statement of Equity Principles, the syllabus takes into account the diverse needs of all students. It identifies essential knowledge, understanding, skills, values and attitudes. It outlines clear standards of what students are expected to know and be able to do in K–10. It provides structures and processes by which teachers can provide continuity of study for all students.nThe framework also provides a set of broad learning outcomes that summarise the knowledge, understanding, skills, values and attitudes essential for all students in all learning areas to succeed in and beyond their schooling.nThe continued relevance of the K–10 Curriculum Framework is consistent with the intent of the Melbourne Declaration on Educational Goals for Young Australians (December 2008), which sets the direction for Australian schooling for the next 10 years. There are two broad goals:nGoal 1: Australian schooling promotes equity and excellencenGoal 2: All young Australians become successful learners, confident and creative individuals, and active and informed citizens.nThe way in which learning in the English K–10 Syllabus contributes to the curriculum, and to students’ achievement of the broad learning outcomes, is outlined in the syllabus rationale.","","","",""
"Introduction","","Diversity of learners","NSW syllabuses are inclusive of the learning needs of all students. Syllabuses accommodate teaching approaches that support student diversity, including students with disability, gifted and talented students, and students learning English as an additional language or dialect (EAL/D). Students may have more than one learning need.","Students with disability","All students are entitled to participate in and progress through the curriculum. Under the Disability Standards for Education 2005, schools are required to provide additional support or adjustments to teaching, learning and assessment activities for some students with disability. Adjustments are measures or actions taken in relation to teaching, learning and assessment that enable a student with disability to access syllabus outcomes and content and demonstrate achievement of outcomes.nStudents with disability can access outcomes and content from K–10 syllabuses in a range of ways. Students may engage with:nsyllabus outcomes and content from their age-appropriate stage with adjustments to teaching, learning and/or assessment activities; ornselected syllabus outcomes and content from their age-appropriate stage, relevant to their learning needs; ornsyllabus outcomes from an earlier Stage, using age-appropriate content; ornselected Years 7–10 Life Skills outcomes and content from one or more syllabuses for students in Stages 4 and 5.nDecisions regarding curriculum options, including adjustments, should be made in the context of collaborative curriculum planning with the student, parent/carer and other significant individuals to ensure that syllabus outcomes and content reflect the learning needs and priorities of individual students.nFurther information can be found in support materials for:nEnglishnSpecial educationnLife Skills.","",""
"Introduction","","Diversity of learners","NSW syllabuses are inclusive of the learning needs of all students. Syllabuses accommodate teaching approaches that support student diversity, including students with disability, gifted and talented students, and students learning English as an additional language or dialect (EAL/D). Students may have more than one learning need.","Gifted and talented students","Gifted and talented students have specific learning needs that may require adjustments to the pace, level and content of the curriculum. Differentiated educational opportunities will assist in meeting the needs of gifted and talented students.nGenerally, gifted and talented students demonstrate the following characteristics:nthe capacity to learn at faster ratesnthe capacity to find and solve problemsnthe capacity to make connections and manipulate abstract ideas.nThere are different kinds and levels of giftedness and talent. Gifted and talented students may also have learning disabilities and/or English as an additional language or dialect. These needs should be addressed when planning appropriate teaching, learning and assessment activities.nCurriculum strategies for gifted and talented students may include:ndifferentiation: modifying the pace, level and content of teaching, learning and assessment activitiesnacceleration: promoting a student to a level of study beyond their age groupncurriculum compacting: assessing a student’s current level of learning and addressing aspects of the curriculum that have not yet been mastered.nSchool decisions about appropriate strategies are generally collaborative and involve teachers, parents/carers and students, with reference to documents and advice available from NESA and the education sectors.nGifted and talented students may also benefit from individual planning to determine the curriculum options, as well as teaching, learning and assessment strategies, most suited to their needs and abilities.","",""
"Introduction","","Diversity of learners","NSW syllabuses are inclusive of the learning needs of all students. Syllabuses accommodate teaching approaches that support student diversity, including students with disability, gifted and talented students, and students learning English as an additional language or dialect (EAL/D). Students may have more than one learning need.","Students learning English as an additional language or dialect (EAL/D)","Many students in Australian schools are learning English as an additional language or dialect (EAL/D). EAL/D students are those whose first language is a language or dialect other than Standard Australian English and who require additional support to assist them to develop English language proficiency.nEAL/D students come from diverse backgrounds and may include:noverseas and Australian-born children whose first language is a language other than English, including creoles and related varietiesnAboriginal and Torres Strait Islander students whose first language is Aboriginal English, including Kriol and related varieties.nEAL/D students enter Australian schools at different ages and stages of schooling and at different stages of English language learning. They have diverse talents and capabilities and a range of prior learning experiences and levels of literacy in their first language and in Standard Australian English. EAL/D students represent a significant and growing percentage of learners in NSW schools. For some, school is the only place they use Standard Australian English.nEAL/D students are simultaneously learning a new language and the knowledge, understanding and skills of a syllabus through that new language. They require additional time and support, along with informed teaching that explicitly addresses their language needs, and assessments that take into account their developing language proficiency.","Using the ESL scales with EAL learners","The ESL scales provide a detailed description of English language progression for EAL/D students. In the NSW English K–10 Syllabus, the subject content has been mapped to the ESL scales to support teachers of EAL/D students. Teachers should use the ESL scales in conjunction with the syllabus to address the needs of EAL/D students and to assist them to access English curriculum outcomes and content.nThe ESL scales provide a description of English language learning progression typical of EAL/D students. This progression is organised into strands of Oral Interaction, Reading and Responding, and Writing. Each of these strands is organised into level statements. The level statements range from Levels 1 to 7 for Reading and Responding and Writing and from Levels 1 to 8 for Oral Interaction. There are also beginner levels in Reading and Responding and Writing for students who are not literate in any language when they begin learning English.nEAL/D students may be at any stage in the development of their English language skills and therefore any level on the ESL scales. Teachers can address the needs of EAL/D students by determining their level of language on the ESL scales and then considering the ESL scales outcomes mapped to the English content.nThe ESL scales outcomes mapped to the content have been selected to show the level of English EAL/D students need in order to achieve the English outcomes. Teachers can use the outcomes and the relevant performance indicators in the ESL scales to plan and program for the language needs of EAL/D students. This should be done in conjunction with development of the knowledge, understanding and skills of the English syllabus content.nEAL/D, English as a Second Language (ESL) and English for Speakers of Other Languages (ESOL) frameworks such as the ESL scales, the English as an Additional Language or Dialect: Teacher Resource and related materials can provide detailed information about the English language development phases of EAL/D students. These resources can be used by teachers to address the specific needs of EAL/D students in their classes and to assist students to access syllabus outcomes and content."
"Introduction","","National Literacy and Numeracy Learning Progressions","The National Literacy and Numeracy Learning Progressions can assist in strengthening teacher knowledge and facilitating a shared professional understanding of literacy and numeracy development.nThe progressions can be used to identify the literacy and numeracy development of students and the development that should follow. This assists teachers to differentiate teaching and learning experiences and to provide feedback to students about next steps in learning. The progressions are used in conjunction with the syllabuses, which remain the focus for planning, programming, teaching, learning and assessment.nThe progressions are organised into elements and sub-elements that describe common developmental pathways as students become increasingly adept in particular aspects of literacy and numeracy. Each sub-element is clarified by descriptions of observable student behaviours known as indicators. The indicators within each sub-element are grouped together to form developmental levels.nThe National Literacy Learning Progression has been mapped to the NSW English K–10 syllabus and the National Numeracy Learning Progression has been mapped to the NSW Mathematics K–10 syllabus to demonstrate the range and level of literacy and numeracy skills required to access the outcomes and content.","Students learning English as an additional language or dialect (EAL/D)","Many students in Australian schools are learning English as an additional language or dialect (EAL/D). EAL/D students are those whose first language is a language or dialect other than Standard Australian English and who require additional support to assist them to develop English language proficiency.nEAL/D students come from diverse backgrounds and may include:noverseas and Australian-born children whose first language is a language other than English, including creoles and related varietiesnAboriginal and Torres Strait Islander students whose first language is Aboriginal English, including Kriol and related varieties.nEAL/D students enter Australian schools at different ages and stages of schooling and at different stages of English language learning. They have diverse talents and capabilities and a range of prior learning experiences and levels of literacy in their first language and in Standard Australian English. EAL/D students represent a significant and growing percentage of learners in NSW schools. For some, school is the only place they use Standard Australian English.nEAL/D students are simultaneously learning a new language and the knowledge, understanding and skills of a syllabus through that new language. They require additional time and support, along with informed teaching that explicitly addresses their language needs, and assessments that take into account their developing language proficiency.","Using the ESL scales with EAL learners","The ESL scales provide a detailed description of English language progression for EAL/D students. In the NSW English K–10 Syllabus, the subject content has been mapped to the ESL scales to support teachers of EAL/D students. Teachers should use the ESL scales in conjunction with the syllabus to address the needs of EAL/D students and to assist them to access English curriculum outcomes and content.nThe ESL scales provide a description of English language learning progression typical of EAL/D students. This progression is organised into strands of Oral Interaction, Reading and Responding, and Writing. Each of these strands is organised into level statements. The level statements range from Levels 1 to 7 for Reading and Responding and Writing and from Levels 1 to 8 for Oral Interaction. There are also beginner levels in Reading and Responding and Writing for students who are not literate in any language when they begin learning English.nEAL/D students may be at any stage in the development of their English language skills and therefore any level on the ESL scales. Teachers can address the needs of EAL/D students by determining their level of language on the ESL scales and then considering the ESL scales outcomes mapped to the English content.nThe ESL scales outcomes mapped to the content have been selected to show the level of English EAL/D students need in order to achieve the English outcomes. Teachers can use the outcomes and the relevant performance indicators in the ESL scales to plan and program for the language needs of EAL/D students. This should be done in conjunction with development of the knowledge, understanding and skills of the English syllabus content.nEAL/D, English as a Second Language (ESL) and English for Speakers of Other Languages (ESOL) frameworks such as the ESL scales, the English as an Additional Language or Dialect: Teacher Resource and related materials can provide detailed information about the English language development phases of EAL/D students. These resources can be used by teachers to address the specific needs of EAL/D students in their classes and to assist students to access syllabus outcomes and content."
"English Key","The following codes and icons are used in the English K–10 Syllabus.","Outcome coding","Syllabus outcomes have been coded in a consistent way. The code identifies the subject, stage, outcome number and the way content is organised.nThe stages are represented by the following codes:nIn the English syllabus, the outcome codes indicate the subject, stage, outcome number and objective. For example:","","","",""
"English Key","The following codes and icons are used in the English K–10 Syllabus.","Coding of the Australian curriculum content","The syllabus includes all the Australian Curriculum content descriptions for English. The content descriptions are identified by an Australian Curriculum code which appears in brackets at the end of each content description, for example:nevaluate the social, moral and ethical positions represented in texts (ACELT1812).nWhere a number of content descriptions are jointly represented, both description codes are included, for example (ACELT1619, ACELT1626).nThe Australian Curriculum English codes are:","","","",""
"English Key","The following codes and icons are used in the English K–10 Syllabus.","Learning across the curriculum Icons","Learning across the curriculum content, including cross-curriculum priorities, general capabilities and other areas identified as important learning for all students, is incorporated and identified by icons in the English K–10 Syllabus.n* Literacy is embedded throughout the English K–10 Syllabus. It relates to a high proportion of the content descriptions across K–10. Consequently, this particular general capability is not tagged in this syllabus.","","","",""
"Rationale","Language shapes our understanding of ourselves and our world. It is the primary means by which we relate to others and is central to the intellectual, social and emotional development of all students. In the years of schooling from Kindergarten to Year 10, English is the study and use of the English language in its various textual forms. These encompass spoken, written and visual texts of varying complexity through which meaning is shaped, conveyed, interpreted and reflected.nIn acknowledgement of its role as the national language, English is the mandatory subject from Kindergarten to Year 12 in the NSW curriculum. Knowledge, understanding, skills, values and attitudes acquired in English are central to the learning and development of students in NSW. Developing proficiency in English enables students to take their place as confident communicators, critical and imaginative thinkers, lifelong learners and informed, active participants in Australian society. It supports the development and expression of a system of personal values, based on students’ understanding of moral and ethical matters, and gives expression to their hopes and ideals.nThe study of English from Kindergarten to Year 10 should develop a love of literature and learning and be challenging and enjoyable. It develops skills to enable students to experiment with ideas and expression, to become active, independent and lifelong learners, to work with each other and to reflect on their learning.nThrough responding to and composing texts from Kindergarten to Year 10, students learn about the power, value and art of the English language for communication, knowledge and enjoyment. They engage with and explore texts that include widely acknowledged quality literature of past and contemporary societies and engage with the literature and literary heritage of Aboriginal and Torres Strait Islander peoples. By composing and responding with imagination, feeling, logic and conviction, students develop understanding of themselves and of human experience and culture. They develop clear and precise skills in speaking, listening, reading, writing, viewing and representing, and knowledge and understanding of language forms and features and structures of texts.nThe study of English in this syllabus is founded on the belief that language learning is recursive and develops through ever-widening contexts. Students learn English through explicit teaching of language and through their engagement with a diverse range of purposeful and increasingly demanding language experiences. The English K–10 Syllabus enables teachers to draw on the methods of different theoretical perspectives and models for teaching English to assist their students to achieve the syllabus outcomes at the highest levels. The syllabus is linked to the purpose statement and broad learning outcomes of the K–10 Curriculum Framework.nIn their study of English, students continue to develop their critical and imaginative faculties and broaden their capacity for cultural understanding. They examine the contexts of language usage to understand how meaning is shaped by a variety of social factors. As students’ command of English grows, they are able to question, assess, challenge and reformulate information and use creative and analytical language to identify and clarify issues and solve problems. They become imaginative and confident users of a range of electronic and digital technologies and understand and reflect on the ongoing impact of these technologies on society. These skills and understandings allow them to develop their control of language in ways that will help them in lifelong learning, in their careers and in life.","","","","","",""
"The place of the English K–10 Syllabus in the K–12 curriculum","","","","","","",""
